City,CO,NO2,O3,SO2,PM2.5,PM10
Palm Bay,205.28,0.91,91.55,0.39,2.15,5.4
Vacaville,317.1,16.28,26.46,0.23,3.45,5.81
Glen Burnie,380.52,19.19,42.2,5.07,16.47,20.67
Broomfield,360.49,14.74,45.42,0.28,5.27,8.64
Pittsburgh,287.06,7.97,41.84,3.79,1.63,2.29
Memphis,273.71,6.94,41.84,3.99,4.62,5.13
Appleton,236.99,1.74,69.38,1.16,0.5,0.85
Green Bay,240.33,2.53,67.95,1.49,0.5,0.79
Upland,220.3,5.57,66.52,0.65,2.6,12.28
Virginia Beach,287.06,5.27,90.12,3.19,20.67,23.48
Springdale,233.65,1.76,56.51,0.35,1.33,2.16
Saint Paul,243.66,4.41,77.96,1.46,0.6,0.92
Nashua,393.87,43.87,22.89,3.58,6.54,7.44
Napa,267.03,10.37,38.62,0.05,2.51,5.24
Huntington Beach,841.14,65.8,15.2,6.56,18.42,35.19
Brentwood,347.14,15.25,18.42,0.89,5.08,8.38
Rochester,287.06,7.88,54.36,1.54,1.34,1.73
New Rochelle,433.92,50.72,38.98,13.83,9.45,17.09
Spokane,393.87,15.94,12.16,0.47,10.75,12.76
Beaumont,206.95,5.66,90.12,3.37,5.57,12.27
Canton,216.96,3.68,24.68,0.41,5.6,7.28
Richmond,257.02,3.04,76.53,1.62,15.66,17.91
Charlotte,267.03,5.1,62.23,1.43,13.79,16.72
Santa Monica,257.02,9.85,72.96,1.55,3.61,16.71
Bloomington,260.35,3.13,48.64,1.19,1.67,2.02
Durham,247.0,2.64,76.53,1.82,15.16,17.53
Indio,300.41,8.14,59.37,0.12,3.49,13.12
Rock Hill,236.99,1.91,72.96,0.98,12.09,14.79
Newark,343.8,27.76,50.78,6.14,6.6,11.44
Ames,216.96,1.91,76.53,0.23,0.5,0.69
Santa Clara,961.3,71.29,6.44,10.97,33.94,42.8
New Orleans,323.77,19.54,77.25,5.13,9.47,13.94
Warwick,226.97,5.44,63.66,1.07,0.5,0.69
Spring Hill,243.66,3.09,64.37,0.42,0.58,1.08
Tallahassee,216.96,0.79,83.69,0.16,9.35,11.84
