City,CO,NO2,O3,SO2,PM2.5,PM10
Oxnard,353.81,17.65,40.05,0.69,6.28,13.02
Gastonia,260.35,4.28,69.38,1.51,13.95,16.76
Fayetteville,233.65,1.76,56.51,0.35,1.33,2.16
New Braunfels,230.31,6.68,27.54,0.3,4.59,10.86
Salt Lake City,647.54,45.24,13.59,5.31,20.58,26.42
Columbia,230.31,1.74,82.25,1.13,11.51,14.24
Lincoln,243.66,3.56,52.21,0.05,0.72,1.58
Bayonne,220.3,0.93,94.41,0.25,0.5,0.61
Homestead,211.95,2.59,77.96,1.06,1.88,3.7
Jackson,226.97,4.76,65.09,0.83,8.71,14.82
Waukegan,243.66,1.93,66.52,0.38,0.5,0.94
Topeka,240.33,2.25,58.65,0.4,0.51,1.04
Norfolk,270.37,3.17,86.55,2.0,19.77,22.25
Boston,377.18,35.3,27.9,5.96,5.91,7.3
Johns Creek,220.3,5.44,72.96,7.45,10.92,15.49
Lynn,273.71,11.82,55.08,2.12,1.14,1.51
San Antonio,303.75,24.33,35.41,4.41,5.97,9.39
Simi Valley,220.3,1.76,80.82,0.2,3.44,18.13
Winston-Salem,253.68,2.44,75.82,0.87,14.38,17.06
Dallas,310.42,15.94,23.25,2.53,8.2,9.05
Laredo,223.64,2.83,58.65,1.01,1.89,3.11
Cary,257.02,2.64,82.25,2.12,15.68,18.18
Parma,520.71,11.65,36.12,0.37,26.68,28.06
Lauderhill,213.62,5.14,74.39,1.74,2.15,5.14
Pine Hills,230.31,4.63,105.86,1.03,4.61,8.14
Carmel,250.34,2.49,57.94,0.78,1.62,2.05
Bakersfield,527.38,29.47,23.25,2.59,12.57,17.18
Saint Cloud,260.35,7.54,65.09,1.15,1.42,2.09
West Palm Beach,203.61,1.48,87.26,0.7,1.41,4.7
Paterson,337.12,22.62,54.36,4.11,5.88,10.26
Clovis,243.66,3.34,26.11,0.01,1.55,6.77
Seattle,540.73,49.35,1.3,3.76,10.64,15.06
Missoula,320.44,10.54,45.78,0.46,4.6,5.5
West Covina,220.3,6.68,66.52,0.86,2.44,11.73
El Paso,433.92,23.31,43.99,4.83,7.28,15.73
Hawthorne,1214.98,79.51,8.67,11.21,33.54,56.24
Lorain,250.34,4.67,57.94,4.05,0.77,1.06
Cicero,273.71,7.71,60.8,2.06,1.26,2.11
Concord,277.04,9.08,47.21,1.4,1.09,1.32
Norwalk,320.44,22.28,60.8,4.95,4.35,9.15
Atascocita,213.62,11.82,75.1,4.59,5.12,12.49
San Bernardino,223.64,4.5,75.82,0.48,3.0,16.42
Worcester,347.14,27.76,28.61,2.65,4.49,6.53
Cedar Park,200.27,2.23,40.41,0.66,4.56,9.48
Pembroke Pines,213.62,5.14,74.39,1.74,2.15,5.14
Amarillo,210.29,1.44,65.09,0.23,0.66,2.25
Chesapeake,263.69,1.67,85.83,1.58,19.46,21.84
Corona,303.75,16.97,58.65,1.43,4.15,16.23
Broken Arrow,236.99,5.36,60.8,3.4,0.87,1.57
Long Beach,1148.22,78.14,10.46,12.99,26.0,45.91
Coral Springs,206.95,2.74,80.11,1.18,2.04,5.86
Mayagüez,213.62,0.26,31.11,0.1,0.5,0.54
Chandler,787.74,34.62,10.73,2.86,18.47,28.75
Sunrise Manor,307.08,15.08,45.78,1.12,4.13,15.63
Anchorage,247.0,2.55,67.23,0.32,0.5,0.55
Santa Rosa,327.11,14.91,44.7,0.09,2.89,4.71
Fairfield,236.99,7.28,28.97,0.03,1.67,4.39
Centennial,520.71,25.02,21.64,1.51,12.14,16.08
Elk Grove,714.3,28.45,5.14,1.52,17.43,25.09
Pompano Beach,206.95,3.0,77.96,1.33,1.89,5.49
Kansas City,277.04,8.65,52.21,3.87,1.55,2.73
Philadelphia,303.75,21.94,52.93,9.66,9.66,13.95
Sioux City,223.64,1.39,70.81,0.37,0.55,1.46
Reading,216.96,3.09,67.95,0.35,0.5,0.58
Palo Alto,961.3,74.03,6.71,6.26,33.91,50.84
Mission Viejo,267.03,12.0,70.1,2.56,3.34,15.63
Reno,397.21,20.56,19.49,0.38,10.61,26.57
Goodyear,367.17,19.54,49.35,1.06,5.43,15.05
Hillsboro,567.44,33.24,1.39,1.3,17.03,20.47
Greensboro,270.37,8.31,64.37,4.17,16.1,18.74
Thousand Oaks,240.33,3.68,82.25,0.32,3.47,16.62
Las Cruces,243.66,5.91,50.78,0.28,4.2,9.06
El Monte,263.69,14.22,59.37,1.67,3.28,14.4
Minneapolis,233.65,2.31,79.39,1.04,0.5,0.77
Albuquerque,260.35,7.2,65.09,0.89,3.59,11.79
Sugar Land,243.66,12.68,71.53,6.74,5.07,11.66
Yuma,223.64,1.93,75.82,1.04,8.39,52.29
Camden,303.75,21.94,52.93,9.66,9.66,13.95
Guaynabo,226.97,0.21,33.62,0.17,0.65,0.84
Eugene,350.48,16.62,8.67,0.26,4.85,6.26
Walnut Creek,774.38,55.52,5.5,22.17,22.19,33.79
Mount Vernon,247.0,2.72,62.94,2.89,1.97,2.41
Bloomington,260.35,3.13,48.64,1.19,1.67,2.02
Loveland,263.69,6.26,49.35,0.02,1.69,4.06
Brooklyn Park,230.31,1.8,79.39,1.4,0.5,0.78
Chicago,273.71,7.71,60.8,2.06,1.26,2.11
Fort Myers,200.27,0.64,87.26,0.24,1.89,4.63
Farmington Hills,260.35,3.81,53.64,0.7,0.7,0.93
Gary,303.75,13.71,57.22,6.08,2.47,4.43
Weston,223.64,1.46,77.25,0.32,0.5,0.59
Nashville,270.37,7.54,38.27,4.23,4.99,5.72
Pueblo,250.34,5.66,57.22,0.33,2.07,8.15
Austin,347.14,29.47,14.84,2.71,7.48,15.39
Santa Clarita,223.64,3.17,78.68,0.43,3.61,20.01
Pawtucket,337.12,21.94,33.26,2.68,3.15,5.28
Lancaster,293.73,7.71,62.94,4.77,12.44,15.25
Chico,267.03,6.17,26.46,0.19,4.26,9.38
Federal Way,607.49,42.5,0.91,1.57,13.0,17.81
Caguas,226.97,0.21,33.62,0.17,0.65,0.84
Roanoke,203.61,1.18,75.1,0.37,2.39,2.99
Kent,230.31,4.93,73.67,0.5,0.5,0.7
Highlands Ranch,520.71,25.02,21.64,1.51,12.14,16.08
Miami Gardens,216.96,7.2,72.96,1.48,1.93,4.1
Jacksonville,230.31,2.31,101.57,0.72,9.65,11.42
Vista,247.0,7.88,59.37,1.36,2.96,13.05
Las Vegas,307.08,15.08,45.78,1.12,4.13,15.63
Boynton Beach,208.62,2.55,82.25,1.19,1.8,5.18
Silver Spring,310.42,11.14,47.92,2.47,16.08,19.04
Lakewood,313.76,12.51,44.7,0.26,3.28,7.08
Downey,1308.44,58.95,5.28,9.06,35.68,56.52
Irving,263.69,7.11,37.55,0.84,4.71,4.99
Manchester,233.65,16.28,47.92,6.91,0.75,1.01
Waukesha,243.66,1.86,65.8,0.69,0.5,0.74
Los Angeles,403.88,38.39,39.34,2.27,6.54,19.75
Corpus Christi,198.6,2.36,77.96,1.25,2.87,4.09
Lake Charles,206.95,6.17,85.12,2.77,5.37,11.0
Arlington,277.04,9.34,34.69,1.33,5.42,5.87
Perris,260.35,11.31,67.95,1.76,3.42,15.15
Chino Hills,580.79,41.47,17.7,2.62,12.42,27.1
San Leandro,1001.36,82.25,6.62,15.5,33.41,50.77
Duluth,240.33,4.33,69.38,3.01,0.5,1.0
Carolina,230.31,0.19,34.69,0.15,0.67,0.91
San Buenaventura,260.35,6.43,41.13,0.32,5.46,8.87
Harlingen,210.29,2.38,70.1,0.72,3.3,4.37
Tyler,250.34,5.57,31.47,1.12,7.02,13.96
Bellflower,1308.44,58.95,5.28,9.06,35.68,56.52
Ponce,203.61,0.17,24.68,0.11,0.5,0.58
